Season,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
S08,Malzahar,292,318,0.13,155,137,0.53,3.4,5.8,1.475694444,9.3,490,404,-5.6,-182,-2
S08,Karma,297,260,0.12,146,151,0.49,4.6,5.9,1.405555556,6.1,344,334,-4.2,-106,-25
S08,Pyke,304,222,0.11,148,156,0.49,3.2,6.6,1.376388889,1.8,164,269,0.6,118,-117
S08,Thresh,314,210,0.11,145,169,0.46,3.2,7.2,1.41875,1.1,138,246,-3.9,31,23
S08,Kennen,251,270,0.11,115,136,0.46,2.4,7.8,1.405555556,8.5,448,387,1.1,45,-63
S08,Lulu,283,237,0.11,134,149,0.47,4.4,6,1.370833333,5.8,282,329,-4.7,-161,-5
S08,Jhin,356,164,0.11,169,187,0.47,4.9,7.3,1.443055556,9.5,540,413,0.6,-93,-30
S08,Syndra,293,214,0.11,131,162,0.45,3.2,7.9,1.468055556,9.4,509,399,6.1,100,51
S08,Ashe,332,153,0.1,172,160,0.52,3.8,7.7,1.413888889,9.6,526,416,-1.7,-103,-102
S08,Xin Zhao,269,187,0.1,123,146,0.46,2.4,6.2,1.364583333,5.1,257,329,-6.8,-153,-303
S08,Urgot,201,253,0.1,97,104,0.48,3,5.1,1.398611111,8.5,404,385,6,244,147
S08,Jax,266,185,0.1,101,165,0.38,2.2,7.7,1.4125,6.8,231,354,2.7,-32,44
S08,Fiora,174,261,0.09,74,100,0.43,2.1,7.6,1.390277778,9.5,433,421,1.9,289,83
S08,Corki,291,138,0.09,136,155,0.47,3.6,6.9,1.463194444,10.4,646,434,4.7,238,51
S08,Janna,228,186,0.09,107,121,0.47,3.8,8,1.426388889,0.9,174,256,-18.2,-106,-109
S08,Poppy,266,125,0.08,132,134,0.5,2.9,7.2,1.430555556,7.2,335,345,-5.1,-120,-59
S08,Fiddlesticks,166,170,0.07,77,89,0.46,2.4,7,1.354861111,1.1,281,249,-9.2,-52,-74
S08,Nidalee,143,174,0.07,81,62,0.57,3.7,5.5,1.400694444,6.2,376,372,12.6,501,685
