Season,Tourament_type,Tourament_Name,Region,Game_No,Game_Duration,First_Gane,Last_Game
S09,World Championship,World Championship Play-In 2019,WR,43,10:24:00,Wednesday 2 October 2019,Tuesday 8 October 2019
S08,LVP,LVP Spring 2018,ES,123,09:38:00,Sunday 28 January 2018,Sunday 25 March 2018
S08,LVP,LVP Summer 2018,ES,126,08:04:00,Saturday 26 May 2018,Sunday 2 September 2018
S08,Hitpoint Legends,Hitpoint LEGENDS 1,CZ,9,02:48:00,Sunday 1 April 2018,Monday 2 April 2018
S08,Hitpoint Legends,Hitpoint LEGENDS 2,CZ,12,09:29:00,Sunday 26 August 2018,Monday 27 August 2018
S08,Mid-Season,Mid-Season Invitational 2018,WR,43,10:24:00,Friday 11 May 2018,Sunday 20 May 2018
S08,MSI,MSI Play-In 2018,WR,31,08:11:00,Thursday 3 May 2018,Wednesday 9 May 2018
S08,NA,NA Academy Spring 2018,NA,91,11:31:00,Friday 19 January 2018,Friday 16 March 2018
S08,NA,NA Academy Spring Playoffs 2018,NA,12,13:06:00,Thursday 22 March 2018,Saturday 31 March 2018
S08,NA,NA Academy Summer 2018,NA,89,10:08:00,Friday 15 June 2018,Saturday 11 August 2018
S08,NA,NA Academy Summer Playoffs 2018,NA,23,09:58:00,Friday 17 August 2018,Saturday 1 September 2018
S08,NA,NA LCS Regional Qualifiers 2018,NA,9,09:01:00,Friday 14 September 2018,Sunday 16 September 2018
S08,NA,NA LCS Spring 2018,NA,95,13:49:00,Saturday 20 January 2018,Sunday 18 March 2018
S08,NA,NA LCS Spring Playoffs 2018,NA,22,09:37:00,Saturday 24 March 2018,Sunday 8 April 2018
S08,NA,NA LCS Summer 2018,NA,94,11:48:00,Saturday 16 June 2018,Tuesday 21 August 2018
S08,NA,NA LCS Summer Playoffs 2018,NA,25,10:19:00,Saturday 25 August 2018,Sunday 9 September 2018
S08,NA,NA LCS-EULCS Rift-Rivals 2018,WR,13,07:36:00,Thursday 5 July 2018,Saturday 7 July 2018
S08,Hitpoint Master,Hitpoint Masters Season 10,CZ,29,08:27:00,Thursday 26 July 2018,Thursday 9 August 2018
S08,OPL,OPL Split 1 2018,OCE,93,09:45:00,Saturday 20 January 2018,Sunday 18 March 2018
S08,OPL,OPL Split 1 Playoffs 2018,OCE,19,09:58:00,Friday 23 March 2018,Saturday 31 March 2018
S08,OPL,OPL Split 2 2018,OCE,94,08:32:00,Friday 8 June 2018,Saturday 18 August 2018
S08,OPL,OPL Split 2 Playoffs 2018,OCE,15,11:11:00,Friday 24 August 2018,Sunday 2 September 2018
S08,Hitpoint Master,Hitpoint Masters Season 9,CZ,27,03:54:00,Tuesday 6 March 2018,Wednesday 21 March 2018
S08,SEA,SEA Tour Summer 2018,SEA,36,08:45:00,Monday 13 August 2018,Sunday 19 August 2018
S08,SEA-LJL-OPL,SEA-LJL-OPL Rift-Rivals 2018,WR,19,07:21:00,Monday 2 July 2018,Thursday 5 July 2018
S08,TCL,TCL Spring 2018,TR,112,08:28:00,Saturday 20 January 2018,Monday 26 March 2018
S08,LPL,LPL Summer Playoffs 2018,CN,32,08:36:00,Wednesday 5 September 2018,Friday 14 September 2018
S08,LCL-TCL-VCS,LCL-TCL-VCS Rift-Rivals 2018,WR,19,08:05:00,Wednesday 4 July 2018,Saturday 7 July 2018
S08,LLN-CLS-CBLOL,LLN-CLS-CBLOL Rift-Rivals 2018,WR,21,09:44:00,Wednesday 4 July 2018,Sunday 8 July 2018
S08,LCK,LCK Regional Qualifiers 2018,KR,13,10:03:00,Wednesday 12 September 2018,Sunday 16 September 2018
S08,LCK,LCK Spring Promotion 2019,KR,14,14:23:00,Tuesday 18 September 2018,Saturday 22 September 2018
S08,LCK,LCK Summer Promotion 2018,KR,17,13:29:00,Tuesday 17 April 2018,Sunday 22 April 2018
S08,LCK,LCK Spring 2018,KR,214,14:04:00,Tuesday 16 January 2018,Sunday 25 March 2018
S08,LCK,LCK Summer 2018,KR,218,11:00:00,Tuesday 12 June 2018,Thursday 9 August 2018
S08,LCK-LPL-LMS,LCK-LPL-LMS Rift-Rivals 2018,WR,20,07:42:00,Thursday 5 July 2018,Sunday 8 July 2018
S08,CLS,CLS Closing Playoffs 2018,LAS,18,10:18:00,Thursday 30 August 2018,Sunday 9 September 2018
S08,CLS,CLS Opening Playoffs 2018,LAS,20,11:28:00,Thursday 29 March 2018,Saturday 14 April 2018
S08,TCL,TCL Spring Playoffs 2018,TR,21,07:07:00,Saturday 7 April 2018,Sunday 22 April 2018
S08,LMS,LMS Regional Qualifiers 2018,TW,12,07:46:00,Thursday 20 September 2018,Saturday 22 September 2018
S08,LPL,LPL Spring Playoffs 2018,CN,30,10:22:00,Thursday 12 April 2018,Saturday 28 April 2018
S08,LLN,LLN Summer 2018,LAN,56,09:51:00,Sunday 17 June 2018,Sunday 26 August 2018
S08,LCK,LCK Summer Playoffs 2018,KR,16,14:18:00,Sunday 12 August 2018,Saturday 8 September 2018
S08,CBLOL,CBLOL Winter 2018,BR,70,09:13:00,Saturday 9 June 2018,Sunday 5 August 2018
S08,LJL,LJL Summer Playoffs 2018,JP,7,10:09:00,Saturday 8 September 2018,Saturday 15 September 2018
S08,LJL,LJL Spring Playoffs 2018,JP,7,15:42:00,Saturday 7 April 2018,Saturday 14 April 2018
S08,TCL,TCL Summer 2018,TR,112,09:36:00,Saturday 16 June 2018,Monday 20 August 2018
S08,LCK,LCK Spring Playoffs 2018,KR,15,11:41:00,Saturday 31 March 2018,Saturday 14 April 2018
S08,LLN,LLN Spring Playoffs 2018,LAN,21,13:03:00,Saturday 31 March 2018,Saturday 21 April 2018
S08,LCL,LCL Summer Playoffs 2018,CIS,13,11:32:00,Saturday 25 August 2018,Sunday 2 September 2018
S08,TCL,TCL Summer Playoffs 2018,TR,20,09:20:00,Saturday 25 August 2018,Sunday 16 September 2018
S08,LMS,LMS Summer 2018,TW,136,10:49:00,Saturday 23 June 2018,Saturday 18 August 2018
S08,LCL,LCL Summer 2018,CIS,58,11:51:00,Saturday 21 July 2018,Sunday 19 August 2018
S08,CBLOL,CBLOL Summer 2018,BR,66,12:08:00,Saturday 20 January 2018,Sunday 11 March 2018
S08,CLS,CLS Opening 2018,LAS,84,10:42:00,Saturday 20 January 2018,Sunday 25 March 2018
S08,LLN,LLN Spring 2018,LAN,43,11:59:00,Saturday 20 January 2018,Saturday 24 March 2018
