Season,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
S09,Malzahar Malzahar,34,30,1%,17,17,50%,2.4,5.8,33:08:00,7.7,460,369,-13.1,-532,-201
S09,Blitzcrank Blitzcrank,35,28,1%,17,18,49%,2.5,8.5,32:20:00,1.3,163,256,-1.3,254,100
S09,Rengar Rengar,21,42,1%,10,11,48%,2.8,2.9,33:27:00,5.9,302,355,11.1,321,167
S09,Graves Graves,40,19,1%,23,17,58%,3.1,6.8,32:11:00,6.3,381,377,10.2,373,413
S09,Darius Darius,24,30,1%,9,15,38%,2,7.3,30:16:00,8.1,321,388,12.5,330,199
S09,Bard Bard,37,15,1%,20,17,54%,3.1,7,32:09:00,0.7,271,261,-13.9,54,-54
S09,Miss Fortune Miss Fortune,35,15,1%,19,16,54%,4.1,6.5,31:55:00,8.7,605,431,6,179,79
S09,Soraka Soraka,33,17,1%,15,18,45%,3.3,7.6,31:38:00,0.8,208,244,-16.9,-204,-106
S09,Aurelion Sol Aurelion Sol,22,26,1%,7,15,32%,2.3,4.8,30:30:00,8,447,351,-18.8,-756,-550
S09,Malphite Malphite,29,16,1%,13,16,45%,2.9,8.4,32:17:00,6.3,363,338,-18.7,-717,-296
S09,Garen Garen,34,7,1%,21,13,62%,4.3,8.1,33:29:00,6.9,227,372,-16.1,-615,-424
S09,Xerath Xerath,24,17,1%,12,12,50%,4,7.6,35:02:00,7.8,719,379,0,-106,-4
S09,Anivia Anivia,16,21,1%,6,10,38%,3,6.3,34:50:00,8.8,299,385,-1.1,-195,250
S09,Ziggs Ziggs,24,12,1%,11,13,46%,3.8,6.7,32:56:00,8.8,670,400,-2,-149,-323
S09,Jhin Jhin,28,6,1%,13,15,46%,4.3,8.2,32:57:00,9.1,535,427,1.2,87,-16
S09,Janna Janna,25,8,1%,12,13,48%,3.2,8.5,31:53:00,0.5,202,246,-17.2,-86,-4
S09,Nami Nami,23,6,1%,10,13,43%,3.4,7,32:11:00,0.7,169,234,-10.5,-317,-155
S09,Illaoi Illaoi,13,13,1%,5,8,38%,1.7,6.1,36:42:00,8,624,395,10.4,391,177
S09,Fizz Fizz,16,9,0%,5,11,31%,2.5,8.1,34:09:00,7,365,362,-14.9,-286,-125
S09,Maokai Maokai,21,3,0%,8,13,38%,1.6,7.3,31:12:00,6.2,365,305,-20.6,-916,-385
S09,Quinn Quinn,12,11,0%,5,7,42%,2.6,5.7,31:34:00,8.2,527,415,4.3,29,-99
S09,Katarina Katarina,8,14,0%,1,7,13%,1.3,4.9,24:03:00,5.4,281,329,-33,-1611,-1022
S09,Zyra Zyra,12,10,0%,4,8,33%,2,4.9,35:01:00,0.9,340,259,-12.2,3,100
S09,Diana Diana,9,11,0%,3,6,33%,1.9,6.9,32:21:00,7.9,457,372,-15.8,-481,-141
S09,Twitch Twitch,14,2,0%,11,3,79%,6.1,9.5,28:25:00,8.1,649,464,10.2,942,416
S09,Shyvana Shyvana,9,5,0%,3,6,33%,2.6,5.6,27:38:00,6.6,530,353,0,-102,299
S09,Udyr Udyr,1,11,0%,0,1,0%,0.7,4.7,30:46:00,6.6,161,322,-9,-511,-859
S09,Annie Annie,6,4,0%,3,3,50%,1.9,7,29:37:00,5.6,355,336,-5,-133,77
S09,Dr. Mundo Dr. Mundo,9,1,0%,2,7,22%,2.3,10,33:43:00,7.4,385,342,-10.4,-374,-171
S09,Amumu Amumu,0,8,0%,,,,,5,00:00,,,,,,
S09,Tryndamere Tryndamere,3,4,0%,1,2,33%,2,5.5,25:55:00,7.9,359,384,11,367,345
S09,Warwick Warwick,7,0,0%,3,4,43%,1.9,-,27:21:00,4.5,247,335,-8.9,-172,-404
S09,Brand Brand,5,1,0%,1,4,20%,1.8,7,25:19:00,0.7,301,240,-6.2,-52,126
S09,Teemo Teemo,5,1,0%,2,3,40%,1.4,3,28:51:00,8.3,497,400,7.2,44,-76
S09,Nasus Nasus,4,1,0%,2,2,50%,0.9,7,29:04:00,8.9,408,388,-2,-730,-368
S09,Shaco Shaco,3,2,0%,0,3,0%,1.9,6.5,35:00:00,3.8,396,317,-0.7,-242,-301
S09,Master Yi Master Yi,2,1,0%,0,2,0%,0.7,6,30:59:00,6.2,339,360,-20,-1736,-1122
S09,Rammus Rammus,3,0,0%,3,0,100%,4,-,30:34:00,4.1,244,330,-14.7,-36,-168
S09,Singed Singed,2,1,0%,2,0,100%,3.3,6,30:08:00,8.1,444,420,4,471,127
S09,Wukong Wukong,3,0,0%,1,2,33%,1.9,-,26:37:00,6.6,591,373,-13.3,-275,-244
S09,Senna Senna,0,0,0%,,,,,-,00:00,,,,,,
S09,Aphelios Aphelios,0,0,0%,,,,,-,00:00,,,,,,
S09,Sett Sett,0,0,0%,,,,,-,00:00,,,,,,
S09,Lillia Lillia,0,0,0%,,,,,-,00:00,,,,,,
S09,Yone Yone,0,0,0%,,,,,-,00:00,,,,,,
S09,Samira Samira,0,0,0%,,,,,-,00:00,,,,,,
S09,Seraphine Seraphine,0,0,0%,,,,,-,00:00,,,,,,
S09,Rell Rell,0,0,0%,,,,,-,00:00,,,,,,
S09,Viego Viego,0,0,0%,,,,,-,00:00,,,,,,
S09,Gwen Gwen,0,0,0%,,,,,-,00:00,,,,,,
S09,Akshan Akshan,0,0,0%,,,,,-,00:00,,,,,,
S09,Vex Vex,0,0,0%,,,,,-,00:00,,,,,,
S09,Zeri Zeri,0,0,0%,,,,,-,00:00,,,,,,
S09,Renata Glasc Renata Glasc,0,0,0%,,,,,-,00:00,,,,,,
S08,Camille Camille,1058,2149,68%,567,491,54%,2.6,4.6,33:34:00,7.3,352,378,-3.3,-62,-128
S08,Ryze Ryze,1512,1523,64%,733,779,48%,3.4,4.8,34:14:00,9.8,455,416,3.1,2,0
S08,Braum Braum,1830,1016,60%,923,907,50%,3.4,6.6,34:41:00,2.1,150,256,2.8,-110,-111
S08,Tahm Kench Tahm Kench,1501,1342,60%,775,726,52%,2.8,5.4,34:48:00,2.1,130,255,7.8,30,76
S08,Taliyah Taliyah,882,1846,58%,453,429,51%,3.3,4.5,34:13:00,7.9,509,386,1.2,60,106
S08,Zoe Zoe,835,1804,56%,451,384,54%,4.3,4.1,34:22:00,8.7,604,391,4.6,178,171
S08,Rakan Rakan,1123,1382,53%,609,514,54%,3.8,4.3,33:54:00,0.6,163,254,-18.8,-3,-64
S08,Alistar Alistar,1362,1126,53%,689,673,51%,2.9,6.7,33:46:00,1.7,134,245,1.2,-78,-87
S08,Varus Varus,1393,1011,51%,678,715,49%,3.7,6,34:46:00,9.8,508,423,3.9,45,-28
S08,Sejuani Sejuani,1537,855,51%,729,808,47%,3.7,5.7,34:59:00,4.8,199,314,-3.2,-134,-150
S08,Ezreal Ezreal,1451,707,46%,719,732,50%,4.8,5.8,34:51:00,9.7,691,434,-0.3,211,0
S08,Ornn Ornn,1244,896,45%,617,627,50%,3.4,6.9,34:12:00,7.4,354,346,-1.8,-135,-10
S08,Aatrox Aatrox,439,1584,43%,253,186,58%,3.1,3.6,32:17:00,9,440,408,3.7,180,223
S08,Gangplank Gangplank,842,1177,43%,465,377,55%,4,5.6,35:46:00,9.2,589,453,-9.5,318,-177
S08,Gnar Gnar,1144,836,42%,541,603,47%,2.7,7.3,35:45:00,8.9,434,388,7.2,51,174
S08,Azir Azir,831,1073,40%,419,412,50%,3.4,4.8,35:23:00,9.9,582,415,1.8,-41,27
S08,Galio Galio,629,1196,39%,326,303,52%,3.8,4.5,34:06:00,8.6,439,380,-9.4,-317,-98
S08,Morgana Morgana,755,1050,38%,353,402,47%,3.3,5.5,33:46:00,1.7,292,267,-11.6,13,-82
S08,Swain Swain,777,1020,38%,408,369,53%,3.7,4.2,33:25:00,8.3,487,383,-2.4,-25,16
S08,Xayah Xayah,993,788,38%,533,460,54%,4.3,4.8,34:10:00,10.2,568,441,4.5,93,167
S08,Trundle Trundle,1080,631,36%,544,536,50%,3.6,5.9,33:50:00,5,177,322,-2.7,-57,-214
S08,Shen Shen,928,706,35%,450,478,48%,3.5,6,33:37:00,4,162,292,0.9,-123,-90
S08,Vladimir Vladimir,754,791,33%,355,399,47%,3.1,5.7,33:47:00,8.9,499,399,-0.3,-81,-19
S08,Nocturne Nocturne,422,1094,32%,231,191,55%,2.7,4.3,33:19:00,5.5,276,344,1.2,160,218
S08,Skarner Skarner,668,704,29%,367,301,55%,3.3,5,34:51:00,4.9,145,314,2.2,-35,7
S08,Kaisa Kaisa,820,470,27%,427,393,52%,4.2,5.4,32:32:00,10,522,443,3.9,-30,86
S08,Jarvan IV Jarvan IV,750,485,26%,388,362,52%,3.5,6.1,34:58:00,5.1,196,322,-4.5,-69,-179
S08,Sion Sion,677,545,26%,327,350,48%,3.1,4.9,34:13:00,7.9,364,352,0,-49,18
S08,Caitlyn Caitlyn,706,499,26%,352,354,50%,3.8,5.5,34:47:00,10.3,636,435,3.6,93,-25
S08,Olaf Olaf,563,612,25%,298,265,53%,3.6,4.9,34:11:00,5.3,278,333,5.8,207,262
S08,Tristana Tristana,738,423,25%,365,373,49%,4.5,6,34:29:00,10.3,561,438,-4.2,-144,17
S08,Kindred Kindred,486,644,24%,241,245,50%,3.1,4.5,33:32:00,5.9,367,361,0.8,144,90
S08,Gragas Gragas,807,314,24%,390,417,48%,3,6.2,34:26:00,4.7,277,307,-6,-179,-145
S08,Irelia Irelia,449,654,23%,233,216,52%,2.9,4.9,31:57:00,9.1,381,416,10,268,112
S08,Dr. Mundo Dr. Mundo,624,426,22%,306,318,49%,3,7.9,33:10:00,8.4,411,375,-1.7,-162,5
S08,Yasuo Yasuo,360,640,21%,166,194,46%,2.7,5.4,32:32:00,9.1,351,407,4,59,-7
S08,Chogath Chogath,726,260,21%,349,377,48%,2.4,8.4,34:39:00,7.8,325,357,-3.9,-231,-94
S08,Zac Zac,536,448,21%,274,262,51%,3.7,6.7,34:39:00,4.6,178,305,-8.4,-225,-79
S08,Orianna Orianna,631,352,21%,298,333,47%,4.1,7.4,35:02:00,9.4,494,399,4.8,6,44
S08,Cassiopeia Cassiopeia,445,525,21%,249,196,56%,4.2,6.7,33:55:00,9.3,519,412,4.7,119,-6
S08,KhaZix KhaZix,432,527,20%,226,206,52%,3,5.5,35:34:00,5.3,314,335,-0.6,99,75
S08,Kalista Kalista,324,622,20%,161,163,50%,3.9,4.3,34:48:00,10.1,450,437,5.8,112,16
S08,Lucian Lucian,472,439,19%,227,245,48%,3.5,5.9,32:53:00,9.6,473,421,10.2,181,87
S08,Taric Taric,482,415,19%,234,248,49%,3.4,7.2,34:38:00,2.1,86,258,-2,-168,-130
S08,KogMaw KogMaw,323,467,17%,140,183,43%,3.6,4.6,35:29:00,9.9,610,424,-3.4,-185,-163
S08,LeBlanc LeBlanc,264,503,16%,141,123,53%,3.8,7,34:07:00,8.3,517,390,0.6,124,216
S08,Jayce Jayce,279,471,16%,152,127,54%,2.7,6.5,33:37:00,9.2,554,411,13.5,415,98
S08,Graves Graves,365,318,14%,178,187,49%,3.3,5,32:42:00,6.9,387,384,12,290,423
S08,Akali Akali,118,511,13%,56,62,47%,3.1,3.9,34:09:00,8.5,420,391,-0.5,129,50
S08,Darius Darius,229,396,13%,103,126,45%,2.2,7.9,33:02:00,8.4,349,387,7,171,4
S08,Malzahar Malzahar,292,318,13%,155,137,53%,3.4,5.8,35:25:00,9.3,490,404,-5.6,-182,-2
S08,Karma Karma,297,260,12%,146,151,49%,4.6,5.9,33:44:00,6.1,344,334,-4.2,-106,-25
S08,Pyke Pyke,304,222,11%,148,156,49%,3.2,6.6,33:02:00,1.8,164,269,0.6,118,-117
S08,Thresh Thresh,314,210,11%,145,169,46%,3.2,7.2,34:03:00,1.1,138,246,-3.9,31,23
S08,Kennen Kennen,251,270,11%,115,136,46%,2.4,7.8,33:44:00,8.5,448,387,1.1,45,-63
S08,Lulu Lulu,283,237,11%,134,149,47%,4.4,6,32:54:00,5.8,282,329,-4.7,-161,-5
S08,Jhin Jhin,356,164,11%,169,187,47%,4.9,7.3,34:38:00,9.5,540,413,0.6,-93,-30
S08,Syndra Syndra,293,214,11%,131,162,45%,3.2,7.9,35:14:00,9.4,509,399,6.1,100,51
S08,Ashe Ashe,332,153,10%,172,160,52%,3.8,7.7,33:56:00,9.6,526,416,-1.7,-103,-102
S08,Xin Zhao Xin Zhao,269,187,10%,123,146,46%,2.4,6.2,32:45:00,5.1,257,329,-6.8,-153,-303
S08,Urgot Urgot,201,253,10%,97,104,48%,3,5.1,33:34:00,8.5,404,385,6,244,147
S08,Jax Jax,266,185,10%,101,165,38%,2.2,7.7,33:54:00,6.8,231,354,2.7,-32,44
S08,Fiora Fiora,174,261,9%,74,100,43%,2.1,7.6,33:22:00,9.5,433,421,1.9,289,83
S08,Corki Corki,291,138,9%,136,155,47%,3.6,6.9,35:07:00,10.4,646,434,4.7,238,51
S08,Janna Janna,228,186,9%,107,121,47%,3.8,8,34:14:00,0.9,174,256,-18.2,-106,-109
S08,Poppy Poppy,266,125,8%,132,134,50%,2.9,7.2,34:20:00,7.2,335,345,-5.1,-120,-59
S08,Fiddlesticks Fiddlesticks,166,170,7%,77,89,46%,2.4,7,32:31:00,1.1,281,249,-9.2,-52,-74
S08,Nidalee Nidalee,143,174,7%,81,62,57%,3.7,5.5,33:37:00,6.2,376,372,12.6,501,685
S08,Lee Sin Lee Sin,219,95,7%,100,119,46%,2.9,7,33:09:00,4.9,218,328,-4.5,-5,-74
S08,Heimerdinger Heimerdinger,93,189,6%,45,48,48%,3,4.2,33:48:00,8.5,636,385,1.5,39,90
S08,Anivia Anivia,113,166,6%,62,51,55%,5.5,5.4,35:49:00,9.5,459,406,-0.6,60,184
S08,Rumble Rumble,161,117,6%,80,81,50%,3.2,7.4,34:53:00,8,519,374,4.4,163,133
S08,Leona Leona,186,89,6%,102,84,55%,2.7,7.5,34:35:00,2,125,260,12,-22,4
S08,Kled Kled,142,130,6%,69,73,49%,4,5.4,34:03:00,8.5,374,391,-2.1,17,-69
S08,Talon Talon,88,162,5%,53,35,60%,3.4,5.6,34:01:00,9.9,448,437,13.3,434,785
S08,Maokai Maokai,205,40,5%,99,106,48%,2.6,8.4,34:15:00,7.2,354,335,-9.4,-287,-160
S08,Zilean Zilean,122,119,5%,57,65,47%,4.4,5.9,34:33:00,4.1,330,298,-10.5,-195,202
S08,VelKoz VelKoz,127,112,5%,63,64,50%,4.3,6.4,36:41:00,8.8,655,389,5.6,114,187
S08,Singed Singed,115,113,5%,68,47,59%,3.7,7.6,31:36:00,8.4,382,376,-3.8,-63,43
S08,Draven Draven,79,145,5%,48,31,61%,3.8,3.9,32:15:00,9.3,535,466,12.7,790,226
S08,Kassadin Kassadin,115,105,5%,46,69,40%,3.6,8.1,33:44:00,9.3,498,403,-5.7,-328,-129
S08,Soraka Soraka,114,86,4%,59,55,52%,3.7,7.5,33:01:00,0.6,200,239,-14.5,-171,-22
S08,Sivir Sivir,136,63,4%,60,76,44%,4,7.8,36:13:00,10.8,590,438,-2.5,-250,-21
