Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
100 Thieves,S12,NA,35,60.00%,1.25,1820,58,08:17:00,13.5,10.8,6.7,5.3,51.4,45.7,2.63,55.1,1.26,64.3,0.91,0.1,512,0.83,58.6,33,1896,3.4,1.32,1.48
100 Thieves Academy,S12,NA,62,54.80%,1.11,1859,45,07:46:00,15.2,13.7,6.9,6,56.5,46.8,2.29,50,0.79,42.7,0.84,-0.1,539,0.73,49.3,33.3,2066,2.8,1.01,1.27
100 Thieves Next,S12,NA,6,33.30%,0.84,1773,-69,04:35:00,11.7,13.7,4.7,6.8,66.7,33.3,1.83,48.6,0.33,16.7,0.67,0,-14,0.5,50,32.1,1891,3.3,0.94,1.25
5 Ronin,S12,TR,24,54.20%,1.15,1827,53,08:03:00,14.8,12.9,6.4,6.2,45.8,54.2,2.5,54.7,1.29,64.6,1.21,0.2,862,0.58,45.1,32,1944,3.2,1.46,1.44
5 Ronin Academy,S12,TR,18,22.20%,0.62,1662,-239,06:03:00,10.1,16.2,4.2,7.7,44.4,33.3,1.67,38.5,0.72,38.9,0.78,-0.6,-1770,0.44,27.8,31.1,1614,2.5,0.92,1.08
AGO ROGUE,S12,PL,36,77.80%,1.93,1961,286,07:55:00,20.4,10.4,8.1,4.3,52.8,47.2,2.42,53.3,0.97,52.8,0.69,-0.2,1113,0.86,66.7,33.8,2282,2.8,0.96,1.24
All Knights,S12,LAT,15,26.70%,0.8,1742,-127,10:40:00,14.5,18.3,4.8,7.7,53.3,46.7,2.53,51.9,0.8,40,0.87,-0.3,-476,0.53,26.7,31.7,1902,3.4,1.32,1.45
aNc Outplayed,S12,IT,18,55.60%,0.93,1787,36,07:50:00,13.1,14,6.7,6.1,16.7,72.2,2.33,54.5,0.94,47.2,0.78,0.2,186,0.89,56.9,31.3,2158,2.9,1.14,1.3
Anorthosis Famagusta Esports,S12,GR,17,58.80%,1.22,1849,70,07:49:00,18.3,14.9,6.7,6,58.8,47.1,2.88,57.9,1.12,61.8,1.06,0,-162,0.76,56.3,30.1,2143,2.7,0.93,1.21
Anyone s Legend,S12,CN,40,35.00%,0.92,1748,-111,08:03:00,13.2,14.4,4.8,7,67.5,30,2.13,48.7,-,-,-,-,-,0.65,45.7,32,1792,-,-,-
Astralis,S12,EUW,18,16.70%,0.76,1706,-192,09:54:00,11.9,15.7,4.2,8.4,61.1,33.3,1.78,37.9,0.44,22.2,0.5,-0.2,-978,0.56,31.5,31.6,1748,3.3,1.46,1.41
Astralis Talent,S12,EUW,18,33.30%,0.97,1724,-39,11:13:00,14.3,14.8,5.8,6.4,50,50,2.39,45.6,0.89,44.4,0.78,-0.1,-969,0.89,55.9,30.3,2106,2.9,1.1,1.44
Atleta Esport,S12,IT,30,56.70%,1.14,1827,46,09:04:00,17.1,14.9,6.7,5.7,40,56.7,2.73,55.6,1.13,58.3,0.8,0.1,293,0.87,63.1,31.3,2061,2.9,1.05,1.37
Atletec,S12,FR,21,47.60%,0.99,1793,11,08:49:00,15.2,15.3,6,6.4,38.1,33.3,2.19,42.9,0.9,45.2,1.05,-0.2,-185,0.76,50,31.8,2167,3.1,1.31,1.32
Auxesis Esports,S12,RS,21,47.60%,0.89,1757,-52,08:42:00,14.3,16,6.1,6.6,42.9,47.6,2.24,45.2,1.52,76.2,0.95,0.2,-70,0.52,42.1,30.7,1911,2.8,1.03,1.11
AXIZ,S12,JP,21,23.80%,0.47,1645,-282,05:34:00,7.8,16.7,3.7,8,19,52.4,1.52,31.1,0.9,45.2,0.71,-0.4,-2605,0.38,26.3,30.3,1400,3.7,1.45,1.31
Axolotl,S12,IT,14,42.90%,1.01,1791,-14,08:17:00,14.2,14.1,6.1,6.6,50,57.1,2,44.3,0.79,42.9,0.64,0,188,0.86,50,32.4,2029,3.2,1.33,1.27
Barça eSports,S12,ES,33,57.60%,1.07,1824,71,07:20:00,14.1,13.2,7.1,5.5,60.6,60.6,2.06,45.9,0.94,47,0.79,0.1,352,0.76,54.2,32.4,1925,3,1.21,1.43
beGenius ESC,S12,FR,18,16.70%,0.6,1648,-234,06:38:00,9.2,15.3,3.4,7.9,55.6,16.7,1.89,41.4,0.67,33.3,0.89,-0.6,-1502,0.33,24.5,31.2,1702,3.1,1.27,1.26
Berlin International Gaming,S12,DE,24,50.00%,0.88,1778,-47,06:32:00,13.5,15.1,5.8,6.5,33.3,50,2.17,52.3,0.75,39.6,0.92,-0.3,-661,0.46,42.9,31.5,1974,2.9,1.21,1.41
Besiktas Academy,S12,TR,20,55.00%,1,1749,14,07:15:00,12,11.9,6.1,6.2,30,65,2.3,49.2,1.05,52.5,0.9,0.3,936,0.7,50.8,31.9,1685,3.1,1.39,1.26
Besiktas Esports,S12,TR,18,33.30%,0.8,1696,-181,06:12:00,11.7,14.6,3.8,7.5,50,22.2,1.72,39.2,0.83,41.7,0.72,-0.6,-1222,0.33,27.5,31.6,1660,3.2,1.31,1.36
Beyond Gaming,S12,PCS,30,56.70%,1.23,1831,106,07:17:00,15.1,12.3,6.6,5.4,60,70,2.27,53.7,1.1,55,0.73,0.6,1435,0.5,49,32,1977,3.3,1.5,1.37
Bifrost,S12,EUW,46,65.20%,1.18,1822,52,08:20:00,16.1,13.6,6.7,5.5,19.6,54.3,2.28,49.1,0.96,48.9,0.67,0.2,-66,0.7,50.4,31.4,2030,3.1,1.3,1.32
Bilibili Gaming,S12,CN,52,55.80%,1.1,1821,42,08:47:00,14.1,12.8,6.7,5.9,59.6,48.1,2.33,50.3,-,-,-,-,0,0.73,50.7,33,1952,-,-,-
BISONS ECLUB,S12,ES,37,51.40%,1.02,1775,-27,08:59:00,14.4,14.1,6.1,6.1,40.5,37.8,2.41,49.8,0.68,35.1,0.54,-0.2,-826,0.51,47.9,31.7,2039,3.1,1.19,1.37
BK ROG Esports,S12,FR,18,44.40%,0.92,1811,-3,09:35:00,15.8,17.1,7.1,6.4,50,61.1,2.28,47.3,1,50,0.61,0.2,220,0.83,52,31,2071,3.2,1.14,1.49
Black Star Gaming,S12,CIS,4,75.00%,1.65,1903,212,06:35:00,16.5,10,7.8,4.3,75,100,3.25,78.8,1.25,62.5,1.25,1,2577,0.75,50,32.5,1761,2.9,1.09,1.34
Boavista FC,S12,PT,13,7.70%,0.53,1599,-339,05:47:00,9.8,18.7,3.4,8.9,30.8,38.5,2.31,51,0.85,42.3,1.54,-0.6,-2267,0.08,4.2,29,1686,2.8,1.27,1.07
BRO Challengers,S12,KR,31,38.70%,0.74,1743,-142,06:58:00,11.6,15.7,5.5,6.9,38.7,45.2,1.77,40.6,1.06,53.2,0.74,-0.2,-759,0.52,42,31.9,1836,2.7,1.28,1.62
BRUTE,S12,CZ,14,35.70%,0.69,1708,-164,05:35:00,11.8,17.1,5.1,6.6,35.7,28.6,1.86,42.4,0.79,42.9,0.93,-0.6,-1776,0.43,37.5,30.9,1914,2.7,1.11,1.04
Burning Core,S12,JP,29,51.70%,1.04,1779,15,07:51:00,13,12.5,5.9,5.8,51.7,34.5,2.24,49,0.59,30.4,0.62,-0.2,-501,0.59,51.3,32.7,1912,3.5,1.46,1.72
Burst The Sky Esports,S12,VN,33,36.40%,0.79,1809,-153,04:44:00,14.2,18,4.6,7.3,39.4,36.4,1.55,37.3,1.03,51.5,0.73,-0.3,-895,0.36,33.9,33,1933,3.3,1.34,1.42
Cerberus Esports,S12,VN,36,50.00%,1.02,1813,-53,06:13:00,14.9,14.6,5.9,6.3,50,58.3,2.17,51.1,1.08,54.2,0.89,0.2,348,0.58,49.5,32,1945,3.4,1.58,1.51
Chief Esports Club,S12,OCE,31,77.40%,1.42,1969,273,06:28:00,18.3,12.9,8.3,4,58.1,74.2,2.58,63.2,1.39,72.6,1,1,2394,0.87,71.4,32.9,2163,3.3,1.23,1.42
CLG,S12,NA,25,36.00%,0.69,1717,-157,08:48:00,10.3,14.9,4.7,7.6,48,20,1.84,40.5,0.44,24,0.68,-0.6,-1364,0.56,36.2,32.3,1808,3.2,1.35,1.44
CLG Academy,S12,NA,46,60.90%,1.21,1898,174,07:18:00,15.3,12.7,7.7,5.1,60.9,80.4,2.15,53.4,1.35,67.4,0.89,0.8,1792,0.89,65.5,33.1,2118,2.9,1.19,1.31
Cloud9,S12,NA,37,56.80%,1.05,1853,89,07:28:00,13.1,12.4,6.4,5.2,56.8,62.2,2.59,60,0.95,48.6,1.05,-0.1,172,0.73,64.8,34.6,1940,3,0.97,1.44
Cloud9 Academy,S12,NA,47,59.60%,1.09,1870,68,06:24:00,15.1,13.7,6.8,5.3,46.8,38.3,2.68,59.7,0.49,28.7,1.17,-0.4,-150,0.66,56.3,33.6,2027,2.6,0.61,1.25
Crest Gaming Act,S12,JP,24,41.70%,0.76,1722,-124,07:47:00,11,14.5,4.8,6.8,37.5,41.7,2.46,51.5,1.04,54.3,1.13,-0.2,-893,0.38,33.3,32.6,1657,3.1,1.44,1.37
CrowCrowd,S12,CIS,4,25.00%,0.75,1598,-274,06:44:00,9.8,13,2,7.3,-,25,1.5,27.9,0.5,25,0.25,-0.8,-2978,0,0,30.8,1428,2.8,1.2,1
Crvena zvezda Esports,S12,RS,27,63.00%,1.14,1824,102,06:07:00,14.7,12.9,6.3,5,55.6,51.9,2.44,58.6,1,50,1.19,0.3,410,0.59,62.5,31.8,2000,2.9,1.05,1.07
Cryptova,S12,CZ,14,35.70%,0.86,1662,-214,06:39:00,14.1,16.4,4,7.5,64.3,35.7,2.29,48.8,0.64,32.1,0.71,-0.6,-1705,0.29,23.1,29.6,2010,2.8,1.06,1.06
CTBC Flying Oyster,S12,PCS,34,73.50%,1.57,1889,225,05:23:00,13.6,8.6,7.7,3.7,55.9,58.8,2.59,62.8,1.18,60.3,1.24,0.6,1916,0.71,67.7,33.4,1911,3.3,1.35,1.41
CTRL PLAY,S12,CIS,4,0.00%,0.3,1534,-444,03:50:00,5,16.8,2,10,50,50,0,0,1,50,0,-0.3,-2672,0,0,29,1354,2.1,0.99,1.19
Cyber Wolves,S12,RS,14,50.00%,1.09,1742,34,07:39:00,13.1,11.9,6.4,5.3,50,71.4,2.14,42.7,1.21,60.7,0.64,0.4,592,0.71,50,30.2,1865,2.8,1.23,1.07
Cyberground Gaming,S12,IT,14,42.90%,1.1,1770,-58,09:24:00,13.9,12.6,5.7,7.2,78.6,35.7,2.07,45.7,0.93,50,0.86,-0.4,153,0.5,42.9,32.8,1949,3.1,1.23,1.34
Dark Passage,S12,TR,27,48.10%,0.97,1727,-92,09:17:00,13.9,14.3,5.3,7,40.7,37,2.59,50.1,0.78,38.9,0.89,-0.2,-1235,0.85,45.5,30.3,1762,2.8,1.07,1.25
Dark Passage Academy,S12,TR,22,54.50%,1.04,1761,0,08:43:00,13.6,13,6.2,6.2,50,31.8,2.59,54.7,0.59,31.8,0.95,-0.1,-318,0.82,57.6,31.9,1797,2.7,1.04,1.16
Dark Tigers,S12,CZ,14,35.70%,0.7,1726,-111,06:29:00,11.1,15.9,4.9,6.9,42.9,42.9,1.5,35.6,1,53.6,0.64,-0.2,-118,0.43,38.5,32.5,1703,2.7,0.98,1.05
Deep Cross Gaming,S12,PCS,33,60.60%,1.17,1834,100,06:59:00,14.7,12.5,6.7,5.2,63.6,54.5,2.48,57.7,1.3,65.2,1.03,0.2,1144,0.82,59.1,31.1,1883,3.3,1.34,1.52
Detonation FocusMe,S12,JP,29,86.20%,2.44,1982,375,04:56:00,17.3,7.1,8.4,2.5,69,86.2,2.31,64.1,1.45,72.4,0.52,1,3864,0.72,77.1,33.9,1977,3.2,1.42,1.62
devils.one,S12,PL,18,11.10%,0.58,1661,-276,07:13:00,11.6,19.9,3.9,8.6,44.4,38.9,1.89,42.5,1,50,0.89,-0.3,-872,0.5,23.1,29.3,1885,2.6,0.88,1.02
Diamant Esports,S12,RS,14,42.90%,0.99,1721,-77,06:26:00,13.1,13.2,5.1,6,35.7,28.6,2.57,56.1,0.71,35.7,1.14,-0.4,-1268,0.71,63.6,29.8,1780,2.5,0.87,1.05
Dignitas,S12,NA,28,42.90%,0.96,1743,-71,10:01:00,10.7,11.1,5.5,7.1,39.3,53.6,2.46,50.5,0.75,37.5,1.04,0,-406,0.57,43.2,32.9,1708,3.3,1.34,1.62
Dignitas Academy,S12,NA,45,51.10%,1.07,1789,-18,07:24:00,14.6,13.7,6.1,6.2,57.8,55.6,2.27,50.1,1.18,60,0.84,0.2,-109,0.8,55.7,31.1,2040,3.1,1.29,1.24
Dire Wolves,S12,OCE,24,41.70%,0.99,1782,-37,05:44:00,14.8,14.9,5.8,6.4,54.2,41.7,2.13,47.5,0.96,47.9,0.88,-0.3,-201,0.71,56.5,30.2,1790,3.1,1.22,1.16
DK Challengers,S12,KR,42,59.50%,1.2,1877,91,08:04:00,14,11.6,6.9,5.3,50,64.3,2.5,54,0.67,34.5,1,0.3,538,0.79,60.6,34.5,1801,3.3,1.47,1.61
Dragon Army,S12,CIS,4,25.00%,0.78,1738,-133,06:31:00,11.3,14.5,4.5,6.3,25,-,2.25,43.3,0.75,50,1.25,-1,-1049,0.25,50,33.2,1675,2.9,1.34,1.16
DRX,S12,KR,46,52.20%,0.9,1758,8,10:41:00,11,12.1,6.5,5.9,47.8,50,2.15,43.1,1.26,63,0.65,0,-80,0.72,55.2,33,1898,3.4,1.5,1.82
DRX Challengers,S12,KR,39,74.40%,1.59,1895,184,08:42:00,15.8,9.9,7.7,4,56.4,43.6,2.97,60,1.08,53.8,0.95,0,513,0.97,75.9,34.1,1951,3.3,1.26,1.75
Dusty,S12,EUW,27,63.00%,1.38,1848,128,06:15:00,17.3,12.6,6.6,4.6,66.7,70.4,2.07,47,1.33,66.7,0.85,0.5,1518,0.7,68.7,31.2,2079,2.7,1.02,1.24
DWG KIA,S12,KR,50,64.00%,1.28,1802,91,11:34:00,12.7,9.8,7.3,5.4,54,56,2.98,56,1.24,62,0.78,0.3,749,0.96,62.8,32.5,1791,3.6,1.49,1.69
Dynamo Eclot,S12,CZ,23,60.90%,1.15,1775,30,09:34:00,17.1,14.9,6.7,6.8,47.8,56.5,2.87,57.5,0.61,32.6,1.04,0.2,9,0.7,59.2,29.3,2145,2.8,1.15,1.18
E WIE EINFACH E-SPORTS,S12,DE,18,33.30%,0.79,1684,-186,06:14:00,12.3,15.5,4.8,7.6,55.6,22.2,2.33,49.7,0.89,47.2,1.28,-0.3,-1259,0.39,33.3,29.1,1912,3.1,0.93,1.13
Edward Gaming,S12,CN,45,60.00%,1.21,1854,109,07:28:00,14.1,11.6,7,5.2,48.9,66.7,2.42,56.3,-,-,-,-,-,0.73,58.3,32.7,2024,-,-,-
EGN Esports,S12,PT,36,58.30%,1.14,1792,25,08:05:00,17.7,15.6,6.5,5.9,50,50,2.64,56.9,0.81,40.3,1.06,-0.3,-278,0.72,52.1,29.6,2164,3,1.16,1.21
Eintracht Spandau,S12,DE,30,60.00%,1.02,1835,83,09:55:00,14.6,14.3,7.8,5.2,63.3,76.7,2.87,57.7,1.37,70,1.17,0.6,1209,1.1,73.2,32.2,2023,3.3,1.46,1.53
Entropiq,S12,CZ,29,75.90%,1.8,1936,290,05:22:00,17.6,9.8,8,3.7,72.4,62.1,2.24,57,1.34,67.2,0.69,0.5,2562,0.83,75.9,32.6,2141,3.1,1.13,1.15
Esport Empire,S12,IT,14,50.00%,1.02,1772,-37,08:21:00,12.7,12.5,6.1,6.5,42.9,50,2.43,49.5,0.71,35.7,0.86,-0.2,-491,0.64,41,32.2,1835,2.7,1.11,1.25
Estral Esports,S12,LAT,30,53.30%,1.05,1785,48,09:24:00,14,13.3,6.5,5.1,40,53.3,2.63,55.6,0.97,51.7,0.83,0.4,576,0.8,57.2,32.4,1896,3.5,1.44,1.44
eSuba,S12,CZ,32,46.90%,0.83,1803,-26,06:56:00,15.5,18.7,6.2,5.7,34.4,62.5,2.13,47.4,1.22,64.1,0.94,0.4,365,0.59,45.2,30.9,2124,3.3,1.45,1.36
Evil Geniuses,S12,NA,49,67.30%,1.41,1856,150,08:33:00,14.6,10.3,7.4,4.5,46.9,59.2,2.33,55.7,1.35,67.3,0.76,0.3,961,0.71,64.1,33.3,1924,3.2,1.18,1.39
Evil Geniuses Academy,S12,NA,43,39.50%,0.83,1768,-98,07:15:00,13.3,16,5,7.4,44.2,44.2,2.05,43.7,0.95,48.8,0.77,-0.1,-467,0.35,29.6,32.1,1868,2.8,1.05,1.19
Evil Geniuses Prodigies,S12,NA,7,28.60%,0.81,1864,-107,04:48:00,16.9,20.6,4.9,7.6,28.6,14.3,1.14,25.5,0.29,14.3,0.71,-1.1,-1379,0.43,28.6,32.3,2273,2.8,1.01,1.08
Excel Esports,S12,EUW,23,47.80%,0.93,1774,-56,09:34:00,13,14,6.5,6.7,47.8,43.5,2.22,45.9,0.83,41.3,0.61,-0.1,-532,0.7,52.3,32,1871,3.7,1.51,1.45
FC Nantes,S12,FR,18,16.70%,0.64,1668,-256,07:44:00,12.4,19.3,3.3,8.6,38.9,22.2,1.72,36.7,0.94,47.2,0.67,-0.3,-768,0.33,23.5,30.5,1934,2.9,1.17,1.29
FC Schalke 04 Evolution,S12,DE,22,54.50%,1.04,1820,45,09:22:00,13.1,12.6,6.1,5.6,50,50,2.23,48,1.14,56.8,0.68,0,379,0.82,61.9,33.9,1787,3.2,1.29,1.56
Fenerbahçe Academy,S12,TR,26,76.90%,1.3,1884,229,05:21:00,15,11.5,8.7,3,61.5,80.8,2.27,59.7,1.38,69.2,0.85,0.8,1510,1.04,86.5,31.4,2033,3.1,1.25,1.11
Fenerbahce Esports,S12,TR,18,44.40%,0.92,1823,21,09:16:00,14.2,15.5,5.8,5.9,55.6,44.4,2.5,50.6,1,50,1.22,-0.1,303,0.94,55.2,33.2,1931,3.3,1.24,1.4
Flamengo Academy,S12,BR,30,63.30%,1.15,1831,87,07:59:00,15.1,13.2,6.8,5.5,50,33.3,2.77,64.4,1.1,55,1,0.1,51,0.97,61.7,32.4,1936,3.4,1.49,1.44
Flamengo eSports,S12,BR,18,27.80%,0.74,1695,-153,09:57:00,11.1,15,4.6,8.3,38.9,16.7,1.78,36.7,0.67,36.1,0.67,-0.5,-1103,0.44,33.3,31.8,1757,3.3,1.47,1.4
FlyQuest,S12,NA,30,43.30%,0.83,1713,-117,11:20:00,10.5,12.7,5.5,7.6,43.3,26.7,2.23,43.2,0.9,45,0.87,-0.3,-836,0.67,35.1,32.3,1607,3.3,1.38,1.51
FlyQuest Academy,S12,NA,52,46.20%,0.99,1799,-37,07:33:00,15.2,15.4,6,6.5,46.2,51.9,2.27,50.4,0.94,47.1,0.87,0.2,-294,0.63,51,31.7,2102,2.9,1.12,1.26
Fnatic,S12,EUW,30,60.00%,1.03,1843,84,07:43:00,13.7,13.3,6.7,5.3,30,63.3,2.67,59.7,1.17,60,1.17,0.1,877,0.7,57.4,33.2,2013,3.4,1.11,1.48
Fnatic TQ,S12,ES,34,76.50%,1.44,1917,235,08:18:00,17.7,12.2,8.8,4,64.7,61.8,2.79,63,1.29,64.7,1.03,0.3,1776,1.06,75.5,32.2,2108,3.5,1.42,1.33
For The Win Esports,S12,PT,29,69.00%,1.31,1893,200,08:23:00,18.4,14,8.3,4.6,58.6,55.2,2.41,51.2,1.1,55.2,1.1,0.6,1481,1,83.3,30.5,2078,3,1.09,1.29
Forsaken,S12,PL,22,45.50%,0.8,1752,-108,05:22:00,12,14.9,5.1,6.7,50,45.5,1.82,41.2,0.32,15.9,0.5,-0.1,-576,0.45,40.5,31.8,2003,2.8,0.95,1.16
Frank Esports,S12,PCS,24,41.70%,1.03,1738,-72,07:21:00,13.5,13.1,5,7,25,45.8,2.17,46.9,0.63,31.3,1.04,-0.7,-1125,0.54,48.1,31.1,1877,3.6,1.47,1.56
Fredit BRION,S12,KR,47,44.70%,0.92,1745,-52,11:24:00,10.9,11.9,5.7,6.7,55.3,36.2,2.53,49,0.81,41.5,0.91,-0.3,-645,0.81,47.7,33,1690,3.8,1.68,1.93
Funplus Phoenix,S12,CN,46,47.80%,0.93,1828,16,07:16:00,12.4,13.3,6.2,6.3,47.8,50,2.33,52.8,-,-,-,-,-,0.67,47.8,33.3,1785,-,-,-
FURIA Academy,S12,BR,22,54.50%,1.17,1841,88,07:47:00,16.9,14.3,7.1,5.9,68.2,54.5,1.64,37.4,1.23,61.4,0.59,0,956,0.64,47.7,31.3,1994,3.4,1.4,1.46
FURIA Esports,S12,BR,27,55.60%,0.96,1818,38,10:36:00,14.4,15,7.7,6.7,55.6,51.9,2.74,58,0.96,48.1,0.96,0,28,1.04,58.6,32.2,1969,3.7,1.63,1.68
G2 Arctic,S12,ES,22,45.50%,0.89,1781,-1,08:59:00,14.7,16.5,6.5,6.4,50,68.2,2.45,56.1,1.41,72.7,1,0.4,742,0.45,33.3,30.8,2198,3,1.23,1.39
G2 Esports,S12,EUW,34,70.60%,1.35,1845,104,08:42:00,15.8,11.6,7.6,5.1,61.8,58.8,2.74,60.7,1.12,57.4,0.79,0.4,276,0.91,62.8,32.1,1928,3.3,1.26,1.66
Galakticos,S12,TR,18,11.10%,0.65,1697,-230,08:10:00,11.6,17.8,3.7,8.7,55.6,44.4,1.5,31.2,1.17,58.3,0.83,-0.3,-776,0.56,32.4,31.4,1675,2.8,1.2,1.28
Galakticos Academy,S12,TR,19,52.60%,0.9,1722,-40,09:35:00,11.4,12.5,6.4,5.9,57.9,52.6,2.53,52.6,1.26,63.2,1.11,-0.1,611,0.63,39.5,31.6,1654,2.8,1.04,1.23
Galatasaray Academy,S12,TR,18,38.90%,1.04,1749,-39,07:45:00,13.1,12.6,5.3,7.6,55.6,44.4,2.5,50.7,0.61,30.6,0.89,-0.2,-132,0.67,41.7,30.8,1627,3,1.33,1.13
Galatasaray Esports,S12,TR,25,60.00%,0.87,1827,79,09:17:00,13.6,15.6,7.4,5.3,44,72,2,41.7,0.96,48,0.56,0.5,1403,0.76,56.3,32.4,1932,3.2,1.31,1.49
GAM Esports,S12,VN,34,91.20%,1.58,2099,371,05:35:00,22.1,13.9,9.3,3.2,55.9,73.5,2.59,64.5,1.32,67.6,0.88,1,2460,1.24,85,34.2,2537,3.6,1.38,1.48
GamerLegion,S12,DE,34,61.80%,1.17,1820,54,08:23:00,16.1,13.7,6.9,5.9,52.9,44.1,2.74,57.1,0.59,29.4,1.18,-0.2,-414,0.74,56.2,31.8,2268,3.2,1.16,1.32
Gamers Origin,S12,FR,22,40.90%,0.82,1782,-61,10:02:00,14,17,6.5,6.7,31.8,50,1.95,41.1,1,52.3,0.59,0,-621,0.68,44.7,31.4,2060,3.6,1.43,1.33
Gamespace Mediterranean College Esports,S12,GR,14,21.40%,0.57,1668,-299,06:02:00,12.3,21.4,3.4,8.2,50,21.4,1.21,25.4,0.79,39.3,0.5,-0.7,-2840,0.43,34.6,28.6,1828,2.7,0.95,0.89
GameWard,S12,FR,18,38.90%,0.79,1749,-111,10:56:00,12.9,16.4,5.7,7.2,44.4,16.7,1.83,31.6,1.06,52.8,0.28,-0.7,-1285,0.61,32.4,31.8,2167,3.4,1.33,1.37
Gen.G Challengers,S12,KR,33,45.50%,0.84,1797,-31,08:09:00,11.4,13.6,5.2,6.6,48.5,54.5,2.03,45.8,0.85,43.9,0.7,-0.1,-367,0.45,33.9,34.1,1848,3.2,1.28,1.63
Gen.G eSports,S12,KR,49,65.30%,1.26,1857,129,09:25:00,13.9,11,7.3,5,49,49,2.82,60.5,0.61,30.6,1.04,-0.1,215,0.82,60.8,34.2,2013,3.6,1.41,1.84
Gentlemens Gaming,S12,PL,18,44.40%,0.79,1737,-120,09:17:00,14.2,18.1,5.3,7.6,44.4,33.3,2,43.2,0.72,36.1,0.89,-0.3,-1147,0.61,40.7,30.2,1998,2.9,0.99,1.22
GG&Esports,S12,IT,21,47.60%,0.99,1796,-15,08:47:00,15.6,15.7,6,6.6,57.1,23.8,2.43,51,1,50,0.95,-0.2,-235,0.62,47.4,31.8,1990,3,1.24,1.25
Giants,S12,ES,18,44.40%,0.93,1739,-84,07:28:00,12.6,13.5,5,6.7,72.2,44.4,2.22,49.2,1.17,58.3,0.94,-0.1,-382,0.61,41.7,31.5,1741,3.2,1.26,1.36
Globant Emerald,S12,LAT,15,20.00%,0.85,1671,-167,08:19:00,11.7,13.6,3.7,7.9,60,53.3,1.8,38.1,1,53.3,0.93,-0.1,-1047,0.4,35.7,30.9,1668,3.2,1.41,1.34
Golden Guardians,S12,NA,28,35.70%,0.76,1735,-100,08:18:00,10.9,14.2,5,6.9,32.1,57.1,1.82,36.8,1.11,55.4,0.54,0.2,-47,0.64,44.9,32.5,1865,3.2,1.33,1.35
Golden Guardians Academy,S12,NA,50,58.00%,1.22,1838,34,05:44:00,15.2,12.5,6.3,5.7,50,46,1.98,47.5,0.82,42,0.72,0,-283,0.58,50.4,32.7,2013,2.9,1.13,1.21
Goskilla,S12,PL,18,33.30%,0.77,1709,-158,07:47:00,12.3,16,5.2,7.7,61.1,50,2.39,51.1,1.22,63.9,0.94,0.1,-936,0.61,39.8,29.4,1893,3.3,1.3,1.36
Gravitas,S12,OCE,21,14.30%,0.51,1609,-410,04:23:00,9.7,19,2.6,8.6,28.6,9.5,1.33,31.9,0.38,19,0.81,-1.3,-3830,0.24,15.7,29.3,1535,2.8,1.09,1.23
GTZ Bulls,S12,PT,14,42.90%,1.03,1765,-47,08:33:00,15.6,15.1,6.1,7.4,64.3,42.9,2.36,48.3,1.07,53.6,0.79,-0.1,-265,0.64,46.2,29.3,1997,2.8,1,1.21
Hanwha Life eSports,S12,KR,43,27.90%,0.76,1698,-129,10:53:00,9.8,12.8,4.5,7.6,34.9,41.9,1.95,39.8,1.05,53.5,0.65,-0.2,-520,0.53,33.7,32.5,1674,3.4,1.51,1.82
Hive Athens EC,S12,GR,20,50.00%,0.97,1805,32,07:41:00,15.8,16.3,6.4,5.7,65,55,2.3,48.4,0.8,42.5,0.8,-0.1,559,0.85,53.7,30.5,2206,2.6,1.01,1.25
HLE Challengers,S12,KR,31,25.80%,0.69,1672,-202,08:08:00,9.6,13.8,3.6,7.9,51.6,25.8,2.13,45.5,0.71,35.5,1.03,-0.5,-1389,0.52,38.3,32.2,1618,3.3,1.44,1.48
Hurricane Gaming,S12,PCS,18,11.10%,0.41,1615,-418,03:42:00,8.4,20.4,3.1,8.7,44.4,22.2,0.78,15.4,0.61,30.6,0.39,-1.1,-3323,0.17,17.9,30.6,1729,2.8,1.21,1.3
Illuminar Gaming,S12,PL,18,33.30%,0.92,1750,-47,09:14:00,14,15.1,5.8,7.3,50,61.1,2.11,44,1.11,55.6,0.56,0.2,587,0.5,47.2,31.7,1895,3.1,1.39,1.24
Immortals,S12,NA,22,22.70%,0.71,1700,-173,08:04:00,10.2,14.4,4.7,8,50,36.4,1.73,34.9,0.82,40.9,0.5,-0.3,-996,0.41,25,32.2,1704,3.3,1.32,1.42
Immortals Academy,S12,NA,53,50.90%,0.96,1811,22,08:54:00,15.1,15.6,6.6,6.2,54.7,52.8,2.53,53.1,1.06,54.7,0.92,0.1,575,0.74,52.9,31.8,2059,2.8,1.03,1.23
Immortals AOE,S12,NA,8,37.50%,0.76,1725,-225,07:33:00,15.1,19.9,4.8,8.4,50,25,2.25,43.5,0.63,31.3,1,-0.5,-2808,0.75,31.3,29.7,2033,2.4,0.67,1.02
Impunity,S12,PCS,21,28.60%,0.66,1714,-199,06:08:00,10.5,15.8,4.7,7.8,42.9,38.1,1.57,33.8,0.95,47.6,0.48,-0.9,-2520,0.38,33.3,31.9,1588,3.1,1.1,1.32
