Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
Mousesports,S9,DE,9,55.60%,1.16,1821,57,10:14:00,14,12.1,6.2,5,66.7,33.3,1.89,47.2,0.56,55.6,0.67,-0.1,548,0.78,56.3,33.2,1971,3.2,1.37,1.71
Movistar Riders,S9,ES,44,47.70%,1.05,1741,-47,11:32:00,13.1,12.5,6,6.6,45.5,47.7,2.45,50.8,0.52,52.3,0.82,0,-289,0.86,47.3,30.6,1718,3.4,1.36,1.32
NYYRIKKI White,S9,SWE,6,0.00%,0.34,1537,-532,02:25:00,6,17.5,1,9.7,16.7,-,0.83,28.9,0,0,0.67,-1.7,-4751,0,0,29.1,1356,2.8,1.17,1.09
OMG,S9,CN,70,27.10%,0.7,1728,-195,07:41:00,10.8,15.4,3.9,7.8,12.9,11.4,1.49,33.8,-,-,-,-,-,0.43,29.8,32.1,1631,3.2,1.21,1.3
OpTic Gaming,S9,NA,41,41.50%,0.8,1746,-39,11:00:00,9.4,11.7,6.1,6.7,56.1,43.9,2.17,47.8,0.49,50,0.88,0,8,0.83,47,32.3,1702,3.6,1.45,1.6
OpTic Gaming Academy,S9,NA,36,36.10%,0.84,1751,-67,09:01:00,11.5,13.6,5.4,6.7,55.6,36.1,1.89,44.8,0.25,25,0.75,0.1,-528,0.53,38.1,32.1,1781,3.2,1.17,1.29
Order,S9,OCE,66,50.00%,0.94,1789,-23,09:19:00,14.2,15,6.2,6.4,51.5,50,1.95,47.1,0.32,31.8,0.61,-0.2,-531,0.85,53.5,30.9,1976,3.1,1.22,1.32
Origen,S9,EUW,55,49.10%,0.99,1787,-2,08:36:00,11.4,11.5,5.9,5.8,50.9,45.5,2.24,57.1,0.45,45.5,0.84,-0.1,97,0.56,49.7,32.7,1718,3.4,1.29,1.36
Origen BCN,S9,ES,64,59.40%,1.18,1777,32,10:44:00,12.6,10.7,6.4,5.8,48.4,43.8,2.25,49.1,0.44,43.8,0.73,-0.2,-211,0.64,49.7,31.4,1927,3.1,1.11,1.27
Outplayed,S9,IT,40,57.50%,1.21,1831,81,08:18:00,15.4,12.6,6.5,5.6,57.5,42.5,2.1,46.8,0.5,50,0.95,-0.2,72,0.88,57.5,31.5,1939,2.7,0.97,1.12
