"Name","Season","Region","Games","Win.rate","K.D","GPM","GDM","Game.duration","Kills...game","Deaths...game","Towers.killed","Towers.lost","FB.","FT.","DRAPG","DRA.","HERPG","HER.","DRA.15","TD.15","GD.15","NASHPG","NASH.","CSM","DPM","WPM","VWPM","WCPM","Region_ID"
"NS Challengers",12,"KR",48,45.8,1.01,1795,-24,501,13.7,13.6,5.4,6.4,52.1,33.3,2.29,48.5,0.98,50,0.73,-0.1,-358,0.54,43.6,32.9,1922,3.4,1.51,1.49,17
"NYYRIKKI",12,"EUW",18,27.8,0.64,1715,-214,392,11.6,18,3.8,7.8,50,16.7,1.78,42.2,0.22,11.1,0.94,-1.1,-1684,0.56,35.3,31.5,1888,3.3,1.09,1.16,11
"Odivelas Sports Club",12,"PT",14,28.6,0.75,1703,-161,585,14.1,18.9,4.4,8.2,50,21.4,1.43,28,0.5,28.6,0.29,-0.5,-1726,0.5,30.4,29.3,1926,2.8,1.04,1.18,27
"OFFSET Esports",12,"PT",16,43.8,0.78,1776,-50,489,13.9,17.6,5.9,6.9,50,68.8,2.5,50.7,1.19,62.5,1.13,0.3,541,0.63,43.3,31.7,2042,3,1.14,1.16,27
"Olympiacos Alimou",12,"GR",14,35.7,0.82,1776,-60,454,15.2,18.5,5.6,6.2,57.1,42.9,2.5,55.1,0.93,46.4,1,0.1,177,0.57,40.5,31,2093,2.8,1.19,1.21,13
"OMG",12,"CN",41,48.8,0.85,1786,-43,386,12.7,14.8,5.5,6.1,48.8,36.6,2.1,49.6,0,0,0,0,0,0.73,56.8,31.5,1926,0,0,0,5
"One Breath Gaming",12,"CIS",4,100,1.76,1918,289,538,15,8.5,9.8,3.8,50,50,3.25,64.3,1.25,62.5,1,0.5,3159,1.5,100,32,1888,3.2,1.56,1.51,4
"ORDER",12,"OCE",35,65.7,1.34,1882,149,375,16.3,12.1,7.1,4.7,51.4,48.6,2.71,60.6,0.94,48.6,1.14,-0.1,565,0.71,63.5,33.2,1975,3.1,1.11,1.3,24
"paiN Academy",12,"BR",30,63.3,1.17,1839,104,471,16.1,13.8,7.3,5.1,53.3,73.3,2.03,47.9,1.1,56.7,0.73,0.4,803,0.7,60.3,31.3,2051,3.4,1.42,1.56,2
"paiN Gaming",12,"BR",31,58.1,1.23,1852,106,515,15.5,12.7,7.3,5.7,64.5,64.5,2.29,48.6,1,50,1.03,0.2,1071,0.81,58.3,32.7,2012,3.6,1.57,1.61,2
