"Name","Season","Region","Games","Win.rate","K.D","GPM","GDM","Game.duration","Kills...game","Deaths...game","Towers.killed","Towers.lost","FB.","FT.","DRAPG","DRA.","HERPG","HER.","DRA.15","TD.15","GD.15","NASHPG","NASH.","CSM","DPM","WPM","VWPM","WCPM","Region_ID"
"Crvena zvezda Esports",11,"RS",37,45.9,0.88,1728,-68,419,14.2,16.1,5.1,6.1,40.5,43.2,1.97,42.8,0.97,51.4,0.81,-0.1,-798,0.62,46.8,30.3,1915,2.7,0.91,1.07,29
"CTRL PLAY",11,"CIS",29,13.8,0.54,1607,-307,343,9.3,17.1,2.7,8.7,31,34.5,1.62,36.8,0.62,32.8,0.79,-0.9,-1877,0.28,21.4,30.6,1557,3,1.17,1.05,4
"Cyberground Gaming",11,"IT",36,36.1,0.94,1671,-132,505,12.6,13.4,4.5,7.3,58.3,52.8,2.28,44.5,0.81,40.3,1.03,-0.1,-640,0.47,33.3,30,1795,2.9,1.14,1.21,14
"Dark Passage",11,"TR",45,46.7,0.99,1741,-32,410,13,13,5.4,5.8,46.7,46.7,2.07,47.8,0.96,48.9,0.8,0,30,0.51,50,31.4,1780,3,1.16,1.23,32
"Dark Tigers",11,"CZ",37,37.8,0.74,1742,-121,291,13.4,18,5.2,6.8,51.4,62.2,1.97,43.2,0.97,51.4,0.84,0,-1267,0.46,39.5,30.3,1869,2.6,1.01,0.92,6
"Dark Tigers academy",11,"CZ",27,70.4,1.32,1870,189,317,18.3,13.9,7.1,4.3,51.9,48.1,2.44,57.6,0.96,53.7,1.07,0.5,889,0.81,62.3,30.4,2086,2.5,0.91,0.95,6
"Detonation FocusMe",11,"JP",65,67.7,1.5,1808,140,448,14.9,9.9,6.6,4.4,69.2,58.5,2.23,52.6,1.17,60.8,0.66,0.1,897,0.78,64.6,32,1875,3.3,1.29,1.64,15
"devils.one",11,"PL",31,25.8,0.77,1648,-173,458,11.4,14.8,3.4,7.6,54.8,29,2.06,45.5,0.68,35.5,0.97,-0.5,-494,0.23,20,30.5,1774,2.9,1.14,1.12,26
"DFM Academy",11,"JP",10,60,1.22,1730,3,461,14.9,12.2,5.6,6,50,50,2.2,45.5,1.4,70,0.8,0.1,-116,0.7,50,29.8,1787,3.2,1.22,1.31,15
"Dignitas",11,"N/A",59,42.4,0.9,1734,-92,450,12.5,13.9,5.1,6.8,52.5,39,2.05,46.8,0.97,50,0.83,-0.3,-636,0.47,36.6,31.7,1773,3,1.35,1.45,22
"Dignitas Academy",11,"N/A",64,42.2,0.96,1759,-43,445,14,14.5,5.3,6.6,48.4,46.9,2.08,47.6,0.97,51.6,0.84,-0.2,43,0.58,46.9,31.8,1942,3,1.26,1.23,22
"Dignitas Mirage",11,"N/A",4,0,0.64,1641,-301,496,10.8,16.8,2.8,9.5,25,0,1.25,25.8,0.5,25,0.25,-0.8,-2213,0.75,37.5,30.7,1622,2.9,0.96,1.27,22
"Dire Wolves",11,"OCE",51,56.9,1.05,1793,53,478,15.3,14.5,6.2,5.6,37.3,51,2.47,53.5,0.98,50,0.96,0.3,599,0.63,49.7,32,2071,2.9,1.15,1.36,24
"DK Challengers",11,"KR",36,36.1,0.78,1715,-91,397,10.3,13.1,4.6,6.5,41.7,38.9,1.5,34.2,0.86,43.1,0.72,-0.1,-520,0.44,38.2,32.9,1622,3.6,1.67,1.48,17
"Dragon Army",11,"CIS",28,35.7,0.85,1718,-92,479,13.8,16.2,4.6,7,46.4,46.4,2.18,45.6,0.5,26.8,0.96,-0.6,-150,0.46,30.8,30.9,1927,3.1,1.31,1.26,4
"DRX",11,"KR",98,32.7,0.72,1727,-120,556,9.9,13.7,5,7.2,39.8,37.8,1.77,35.4,0.72,36.7,0.55,-0.2,-665,0.48,37.4,34.2,1827,3.6,1.37,1.73,17
"DRX Challengers",11,"KR",48,47.9,0.9,1812,8,573,13.7,15.3,5.8,6.3,45.8,50,2.29,48.3,1.04,52.1,0.81,0.1,449,0.73,49.3,33.9,1832,3.4,1.27,1.77,17
"Dusty",11,"EUW",27,25.9,0.66,1665,-215,535,12.4,18.6,4.3,8.2,37,29.6,2.04,39.8,0.63,31.5,1.04,-0.6,-1181,0.33,26.9,30.6,1832,3.1,1.19,1.13,11
"DWG KIA",11,"KR",155,74.8,1.37,1866,176,529,15.2,11,7.7,4.2,51,64.5,2.78,63.2,1.15,58.1,0.85,0.4,945,1.03,73.1,33.4,2116,3.8,1.51,1.76,17
"Dynamo Eclot",11,"CZ",31,58.1,1.1,1782,56,514,15.4,14,6.4,6,38.7,45.2,2.81,58.2,0.77,40.3,1.06,-0.1,44,0.9,62.4,30.6,2075,2.7,1.2,1.3,6
"Dynamo Eclot Academy",11,"CZ",4,0,0.38,1600,-242,652,7.5,19.8,3.8,8.8,0,25,1.5,24.3,1,50,0.75,0,-2076,0.75,41.7,29.4,1610,2.8,1.06,1.28,6
"Dynamo Esports",11,"CZ",19,36.8,0.83,1739,-71,525,14.4,17.5,4.9,6.5,47.4,36.8,2.05,41.8,0.95,52.6,0.63,-0.2,-280,0.79,44.7,31.2,1808,2.9,1.05,1.05,6
"Dynasty",11,"NL",29,37.9,0.85,1698,-75,524,12.8,15.1,5.5,6.7,41.4,51.7,2.24,45.6,0.9,44.8,1.07,-0.1,-840,0.59,46.4,29.9,1905,2.8,1.05,1.05,23
"DYU",11,"CN",4,25,0.58,1654,-347,317,13.5,23.3,2.8,7.5,25,25,1.5,33.3,0.75,37.5,0.75,-0.3,-3314,0.5,50,28.7,1840,2.5,0.96,1.03,5
"E WIE EINFACH E-SPORTS",11,"DE",43,39.5,0.77,1702,-164,383,12.6,16.3,4.7,7.4,48.8,27.9,2.19,48.1,0.84,45.2,1.02,-0.5,-1364,0.49,34.8,30.4,1852,2.9,1.01,1.15,8
"ECLOT",11,"CZ",18,27.8,0.64,1661,-234,494,13.1,20.3,4.1,7.9,11.1,22.2,1.94,38,0.94,47.2,0.89,-0.7,-2216,0.56,32.8,29.4,1940,2.9,1.19,1.19,6
"ECLOT Academy",11,"CZ",35,54.3,1.08,1797,46,412,16.3,15.1,6.5,5.3,54.3,60,2.46,52.4,1.14,57.1,1.14,0.1,223,0.91,53.3,30.5,1906,2.7,1.01,1.09,6
"Edward Gaming",11,"CN",125,69.6,1.41,1845,140,481,14.5,10.3,7.1,4.6,59.2,51.2,2.62,60,0.62,54.9,0.81,-0.1,461,0.75,59.6,33.4,1975,3.3,1.27,1.65,5
"EFIVE Esports",11,"PT",28,21.4,0.63,1600,-280,376,9.9,15.7,3,8.3,46.4,25,1.82,38.8,0.46,25.9,0.86,-0.8,-1694,0.36,22,29.5,1574,2.8,1.08,1.08,27
"EGN Esports",11,"PT",32,37.5,0.79,1717,-67,475,11.6,14.8,6,6.3,46.9,59.4,2.03,40.1,1.16,60.9,0.91,0.2,-1,0.53,39.8,31.3,1768,2.8,1.09,1.05,27
"Elyandra Esport",11,"FR",36,66.7,1.27,1843,137,430,17.4,13.7,7.1,4.6,30.6,63.9,2.25,50.8,1.25,63.9,0.78,0.6,1014,0.58,50.5,30.8,2121,2.9,1.01,1.44,12
"eMonkeyz",11,"ES",36,30.6,0.84,1660,-165,498,10.6,12.6,4.3,7.8,47.2,22.2,1.97,39.3,0.69,34.7,0.81,-0.6,-1581,0.53,36.2,31,1632,2.9,1.34,1.2,9
"Esport Academy",11,"CZ",3,66.7,1.14,1759,147,642,13.3,11.7,7.7,3.7,33.3,33.3,3.67,73.3,0.67,75,1.33,0.3,23,1,66.7,30.2,1941,2.5,0.8,1.33,6
"Estral Esports",11,"LAT",45,55.6,1.16,1762,58,589,14.4,12.4,6.4,5.4,51.1,64.4,2.82,58.4,1.22,61.1,1.22,0.3,849,0.87,60.4,31.5,2039,3.5,1.39,1.59,20
"eSuba",11,"CZ",71,63.4,1.09,1826,72,424,17.4,16,7.2,5.1,60.6,53.5,2.49,54.8,0.99,49.3,1.14,0.4,441,0.85,60.6,30.5,2060,3.1,1.22,1.25,6
"eSuba Academy",11,"CZ",4,75,1.45,1806,176,560,16,11,7.3,4.5,75,75,2.25,42.5,1.5,75,0.75,0.5,1624,1,75,31,1967,3.2,1.11,1.25,6
"EURONICS Gaming",11,"DE",35,28.6,0.88,1691,-143,435,12.2,13.9,4.1,7.8,54.3,25.7,1.89,39.5,0.8,40,0.91,-0.6,-780,0.54,38.7,31,1720,3.2,1.43,1.19,8
"Evil Geniuses",11,"N/A",70,55.7,1.05,1805,53,587,14.2,13.5,7,5.5,50,61.4,2.59,55.2,1.09,54.3,0.81,0.4,748,0.71,53,32.5,1983,3.4,1.23,1.51,22
"Evil Geniuses Academy",11,"N/A",72,45.8,0.84,1768,-66,400,14.5,17.2,5.9,6.2,58.3,65.3,1.78,43.4,0.96,49.3,0.53,0.3,25,0.68,49.5,30.9,2057,3.1,1.14,1.17,22
"Evil Geniuses Prodigies",11,"N/A",11,36.4,0.61,1671,-175,505,10.4,17,4.6,7,45.5,36.4,1.64,33.8,0.73,36.4,0.73,-0.4,-1358,0.64,50,32,1696,2.9,1.18,1.27,22
"Excel Esports",11,"EUW",36,38.9,0.8,1699,-113,554,10.7,13.3,5.1,7.1,41.7,36.1,1.72,35.8,1,51.4,0.5,-0.3,-771,0.58,40,31.6,1737,3.2,1.23,1.28,11
"FC Nantes",11,"FR",22,54.5,1.17,1816,69,449,16.1,13.7,6.3,5.6,72.7,59.1,2.14,46.9,1.45,72.7,0.59,0,-69,0.68,51.6,31.4,2013,3.1,1.21,1.24,12
"FC Schalke 04",11,"EUW",48,37.5,0.82,1736,-95,513,11.3,13.7,5.7,7,47.9,41.7,1.77,37,0.98,49,0.65,-0.3,-652,0.6,38.3,32.7,1750,3.4,1.36,1.39,11
"FC Schalke 04 Evolution",11,"DE",75,45.3,0.97,1807,12,435,15.5,16,6.4,5.7,45.3,64,2.27,50.3,1.19,59.3,1.07,0.5,564,0.71,49.5,31.6,2019,3.2,1.29,1.33,8
"Flamengo Academy",11,"BR",53,73.6,1.46,1857,189,480,16.5,11.3,7.9,4.1,45.3,75.5,2.91,63.1,1.04,52.8,1.09,0.4,1020,0.85,70.1,32.5,1999,3.4,1.54,1.44,2
"Flamengo eSports",11,"BR",44,61.4,1.15,1806,80,488,15.4,13.4,7.1,5.1,50,47.7,2.23,50.6,1.02,51.1,0.66,0.1,220,0.68,58.8,31.8,2067,3.6,1.61,1.52,2
"FlyQuest",11,"N/A",51,31.4,0.74,1682,-183,503,10.9,14.7,4.1,7.8,41.2,31.4,1.86,38.1,0.67,35.3,0.82,-0.6,-1402,0.41,28.6,32,1750,3.2,1.29,1.38,22
"FlyQuest Academy",11,"N/A",67,61.2,1.23,1841,89,385,15.9,12.9,6.9,4.8,47.8,56.7,2.13,55.6,1,51.5,1.03,0.1,137,0.66,59,32.4,2072,3.1,1.25,1.28,22
"Fnatic",11,"EUW",71,52.1,1.02,1853,43,440,16.4,16.1,6.4,5.8,57.7,64.8,2.68,60.7,1.07,56.3,1.2,0.4,896,0.82,55.9,31.9,2064,3.4,1.36,1.27,11
"Fnatic Rising",11,"EUW",90,64.4,1.35,1865,167,366,16.3,12,7.7,4.3,44.4,65.6,2.48,59,1.43,71.7,1.18,0.7,1100,0.76,64.9,31.8,2092,3.3,1.41,1.27,11
"For The Win Esports",11,"PT",63,57.1,1.11,1800,77,489,15.7,14.1,6.7,5.5,46,58.7,2.35,49.8,1.14,58.7,0.84,0.2,508,0.84,61,30.4,2026,3,1.19,1.29,27
"Fredit BRION",11,"KR",89,37.1,0.87,1708,-110,543,9.8,11.2,4.5,6.9,48.3,29.2,2.36,49.6,0.69,34.8,1,-0.4,-928,0.54,39.4,33.7,1690,4,1.62,1.95,17
"Funplus Phoenix",11,"CN",118,65.3,1.16,1906,133,361,15.5,13.3,7.1,4.5,48.3,62.7,2.31,55.7,0.7,61,0.68,0.3,943,0.74,62.5,33.8,2110,3.3,1.35,1.46,5
"FURIA Academy",11,"BR",52,63.5,1.18,1799,101,493,14.2,12,6.7,5.5,51.9,57.7,2.23,47.5,1.12,55.8,0.67,0.3,968,0.71,55.6,32.2,1884,3.3,1.47,1.43,2
"FURIA Esports",11,"BR",36,25,0.63,1695,-187,466,11.3,17.7,4.8,7.9,30.6,47.2,1.47,33.9,1.03,51.4,0.64,-0.1,-961,0.5,31.9,31.2,1934,3.3,1.36,1.3,2
"Furious Gaming",11,"LAT",49,57.1,1.01,1738,5,590,13.9,13.9,6.4,5.6,53.1,49,2.59,54.9,0.92,46.9,0.92,0,-503,0.67,50.3,31.5,1872,3.7,1.47,1.57,20
"G2 Arctic",11,"ES",58,60.3,1.06,1819,102,530,14.5,13.6,7.4,5,43.1,74.1,2.26,52.1,1.4,69.8,0.72,0.6,994,0.95,63.7,32.1,2017,3.5,1.54,1.44,9
"G2 Esports",11,"EUW",58,58.6,1.11,1831,56,528,15.2,13.7,6.8,5.4,37.9,41.4,2.72,59.4,0.74,42.2,0.9,-0.1,-87,0.72,54.9,33.6,2018,3.8,1.37,1.53,11
"Gaia Esports",11,"IT",20,45,0.89,1780,-21,434,16.3,18.4,6.1,5.5,50,60,2.1,45.8,0.9,50,0.95,0.4,277,0.7,47.5,29.7,1990,2.8,1.22,1.29,14
"Galakticos",11,"TR",44,45.5,0.89,1766,-19,463,13.9,15.6,5.5,6.2,47.7,40.9,2.23,48.4,0.93,48.8,0.74,-0.1,-288,0.59,39.6,31.5,1819,3,1.43,1.35,32
"Galatasaray Esports",11,"TR",60,68.3,1.35,1834,158,551,16.2,11.9,7.4,4.3,53.3,56.7,2.33,49.4,1.07,54.2,0.85,0.2,784,0.98,67.1,32.3,1972,3.2,1.28,1.45,32
"Galaxy Racer EU",11,"EUW",16,50,1.04,1807,16,236,15.8,15.3,5.8,5.9,50,75,2.19,54,0.81,50,0.94,0,461,0.5,46.2,30.8,2131,2.9,1.24,1.2,11
"GAM Esports",11,"VN",78,76.9,1.52,1964,263,279,18.6,12.2,7.4,3.7,60.3,71.8,2.44,63.5,1.12,56.4,0.99,0.8,2296,0.77,69.7,33.5,2228,3.7,1.34,1.5,35
"Gambit Esports",11,"CIS",18,66.7,1.29,1820,194,499,14,10.8,7.4,3.7,38.9,61.1,3.06,67.8,1.44,72.2,1.33,0.6,974,0.78,69.1,32.4,1868,3.2,1.19,1.36,4
"GamerLegion",11,"DE",52,51.9,0.99,1818,1,382,16.1,16.2,6,5.9,44.2,53.8,2.46,56.8,0.92,48.1,0.94,-0.2,-426,0.73,50.5,31.7,2174,3,1.08,1.14,8
"Gamers Origin",11,"FR",35,40,0.93,1758,-39,586,15,16,5.8,6.3,45.7,48.6,2.26,47,1.09,54.3,0.89,0.1,223,0.54,40.7,31.3,1978,3.2,1.31,1.46,12
"Gamers Origin Academy",11,"FR",18,33.3,0.78,1683,-150,588,12.9,16.5,4.4,7.8,22.2,38.9,2.06,41.9,0.78,38.9,0.94,-0.2,-953,0.44,26.5,30.9,2135,3.3,1.39,1.37,12
"Gamespace Mediterranean College Esports",11,"GR",58,48.3,0.91,1750,-51,433,14.1,15.5,5.7,6.2,37.9,41.4,2.52,52.7,1.05,53.4,1.07,-0.3,-775,0.67,47.6,30.6,1960,3.1,1.25,1.34,13
"GameWard",11,"FR",39,46.2,0.91,1747,-21,459,14.3,15.6,5.8,6.3,41,56.4,2.51,54.2,1.31,66.7,1.08,0.4,137,0.62,45.9,31,2028,3.2,1.41,1.28,12
"GameWard Academy",11,"FR",18,44.4,1.11,1729,-36,507,14.6,13.2,5.6,6.5,66.7,27.8,2.28,52.1,0.78,38.9,1.17,-0.7,-409,0.89,51,30.3,1944,2.9,1.46,1.24,12
"Gaming Team Krava?e",11,"CZ",25,52,1.03,1744,7,385,14.2,13.7,5.6,5.5,64,52,2.32,49.8,0.8,40,0.96,-0.1,139,0.64,46,30.9,1772,2.9,1.06,1.21,6
"Gen.G Challengers",11,"KR",56,64.3,1.24,1818,98,558,14.6,11.8,7,4.4,53.6,57.1,2.7,57.2,1.09,55.4,0.93,0.2,463,0.66,53.3,33.2,1851,3.5,1.5,1.72,17
"Gen.G eSports",11,"KR",116,60.3,1.2,1813,88,589,12.8,10.7,6.7,5.4,59.5,55.2,2.59,56.4,0.96,49.6,0.98,0,334,0.84,61.9,34,1791,3.9,1.61,1.93,17
"Gentlemens Gaming",11,"PL",29,27.6,0.71,1642,-179,543,11.5,16.3,4.2,7.9,37.9,27.6,2.1,42.8,0.55,27.6,0.9,-0.8,-1716,0.55,37,29.9,1677,2.9,1.06,1.19,26
"GG&Esports",11,"IT",47,51.1,0.96,1774,2,409,13.6,14.1,5.9,6,42.6,44.7,2,42.3,1.04,55.3,0.77,-0.1,121,0.57,43.6,31.8,1887,2.9,1.05,1.28,14
"Godsent",11,"EUW",27,33.3,0.78,1708,-156,411,12.5,16.1,4.2,7.3,37,33.3,1.96,43.7,0.81,40.7,0.78,-0.4,-786,0.7,45.4,30.9,1928,2.9,1.14,1.11,11
"GOEXANIMO",11,"LT",25,44,0.86,1794,-67,409,15.8,18.3,5.8,6.3,40,52,2.64,57.7,0.56,34,1.12,-0.1,-614,0.44,39.6,30.2,2292,2.4,0.82,1.06,21
"Golden Guardians",11,"N/A",54,27.8,0.64,1688,-167,567,10.3,15.9,4.5,7.6,33.3,42.6,2.37,46.5,0.94,49.1,0.72,-0.3,-393,0.48,29.2,32.3,1842,3.2,1.3,1.54,22
"Golden Guardians Academy",11,"N/A",78,47.4,0.94,1751,-53,465,13.8,14.7,5.6,6.4,55.1,38.5,2.4,51.7,0.9,45.5,0.97,-0.2,-543,0.72,51.3,31,2011,3.5,1.45,1.35,22
"Goskilla",11,"LT",38,71.1,1.42,1911,200,345,21.2,14.9,7.3,4.3,57.9,60.5,2.58,64.7,0.82,44.7,1.24,0.5,1917,0.76,63.7,31.3,2386,2.8,0.98,1.24,21
"Granit Gaming",11,"EUW",29,41.4,0.78,1690,-156,556,13.1,16.6,4.9,7.8,37.9,44.8,2.38,47.6,0.72,36.2,1.07,-0.3,-1168,0.48,29,30.3,1931,3,1.02,1.31,11
"Gravitas",11,"OCE",35,28.6,0.66,1656,-214,543,13.3,20.2,4.3,7.7,34.3,28.6,1.91,37.7,0.86,42.9,0.91,-0.5,-1576,0.74,36,29.4,1864,2.6,0.99,1.07,24
"GTZ Bulls",11,"PT",33,45.5,1.11,1772,7,492,17.1,15.3,6.1,5.9,54.5,45.5,2.27,47.6,1,51.6,0.85,-0.4,-409,0.73,56.3,29.7,2073,2.7,1.07,1.12,27
"Hanwha Life eSports",11,"KR",134,51.5,1.07,1794,30,534,13.1,12.2,5.9,5.8,46.3,50.7,2.31,51.2,0.95,48.9,0.83,0,171,0.64,50,33.8,1991,3.6,1.53,1.84,17
"Hive Athens EC",11,"GR",14,28.6,0.71,1625,-256,382,12.4,17.4,2.7,8.2,50,28.6,2,43.4,0.93,46.4,1,-0.8,-720,0.29,25,28.6,1902,2.7,0.99,0.92,13
"HLE Challengers",11,"KR",50,52,0.97,1779,15,502,12.3,12.7,5.5,5.7,44,54,2.42,50.8,0.52,27,0.98,-0.1,14,0.68,47.1,33.9,1812,3.1,1.18,1.53,17
"HMG",11,"CN",4,0,0.31,1585,-606,122,9.3,29.8,1,9.8,50,25,0.75,15,0.5,25,0.25,-1.5,-4631,0,0,28.4,2069,2.1,0.51,1.11,5
"Hong Kong Attitude",11,"PCS",52,36.5,0.78,1709,-135,334,12.4,15.9,4.4,6.7,46.2,28.8,1.6,39.5,1.06,52.9,0.58,-0.5,-537,0.48,37.3,30.8,1917,3.4,1.44,1.33,25
"Illuminar Gaming",11,"PL",85,57.6,1.03,1745,16,588,12.9,12.4,6.1,5.8,44.7,49.4,2.31,46.3,0.88,45.3,0.84,-0.1,-225,0.71,54.1,32,1863,3.2,1.28,1.32,26
"Immortals",11,"N/A",58,43.1,0.97,1739,-69,493,11.8,12.2,5,6.8,41.4,27.6,1.9,40.8,0.84,42.2,0.69,-0.4,-689,0.6,45.5,32.6,1776,3.6,1.31,1.42,22
"Immortals Academy",11,"N/A",76,48.7,1.03,1769,-5,511,14.7,14.3,6,6.2,44.7,46.1,2.09,45.2,0.96,51.3,0.78,0.1,92,0.64,45.9,31.6,2010,3.3,1.26,1.37,22
"Impunity",11,"PCS",41,26.8,0.68,1675,-241,291,12.1,17.8,3.3,7.6,39,34.1,1.88,44.5,0.66,32.9,0.98,-0.8,-2216,0.51,40.3,30.3,1900,2.8,1.03,1.23,25
"Inaequalis",11,"CZ",28,17.9,0.68,1591,-254,475,10.9,16.1,2.9,8.1,57.1,17.9,1.68,34.4,0.71,37.5,0.96,-0.6,-1614,0.32,22,29.1,1695,2.7,1.08,1.09,6
"Infinity eSports",11,"LAT",60,60,1.34,1791,89,543,14.1,10.5,6.7,5,48.3,51.7,2.27,48.9,1.02,50.8,0.65,0,103,0.92,60.2,32.7,1912,3.6,1.38,1.56,20
"Inside Games",11,"CZ",47,57.4,1.33,1826,93,432,18.6,13.9,6.4,5.4,53.2,46.8,2.47,50.5,1.06,54.3,0.87,-0.1,516,0.68,55.4,31.1,2098,3.1,1.27,1.13,6
"Inside Games Academy",11,"CZ",17,17.6,0.58,1592,-327,409,10.6,18.1,2.9,8.6,52.9,29.4,1.76,35.8,0.53,31.3,0.88,-0.6,-1753,0.35,22.5,28.9,1631,3.1,1.17,1.04,6
"INTZ Academy",11,"BR",36,19.4,0.59,1626,-227,508,9.7,16.5,4.1,8.3,36.1,30.6,1.69,34.7,0.89,44.4,0.53,-0.4,-990,0.39,25,30.8,1686,3.6,1.63,1.37,2
"INTZ e-Sports",11,"BR",36,30.6,0.8,1716,-97,509,12.1,15.1,5.3,7.8,61.1,38.9,2.03,44.1,0.86,43.1,0.89,-0.5,-500,0.36,26.5,31.6,1796,3.6,1.54,1.5,2
"Invictus Gaming",11,"CN",82,48.8,0.99,1808,22,333,13.7,13.8,5.8,5.5,46.3,53.7,2.26,56.1,0.48,43.3,1.02,0,665,0.7,56.8,32.5,2068,3.2,1.4,1.53,5
"Ion Squad",11,"BE",28,39.3,0.91,1715,-63,541,14.5,15.9,5.4,6.3,53.6,46.4,2.61,51.5,0.93,48.2,1.07,0.2,-473,0.71,41.4,30.2,1919,2.7,0.98,1.19,1
"Iron Wolves",11,"LT",40,47.5,1.06,1806,27,458,16.1,15.2,6.1,6.6,50,35,2.15,46.5,0.95,50,0.85,-0.2,320,0.73,46.9,31.5,1957,2.8,1.06,1.18,21
"Istanbul Wildcats",11,"TR",53,56.6,1.16,1808,91,502,15.4,13.3,7,5.2,47.2,60.4,2.53,55.6,1.25,62.3,0.96,0.4,744,0.77,57.5,31.4,1867,2.7,1.08,1.35,32
"Isurus",11,"LAT",36,41.7,0.86,1695,-72,587,12.3,14.3,4.9,6.7,50,47.2,2.11,46.9,0.94,47.2,0.69,0,23,0.58,36.2,31.1,1795,3.4,1.38,1.41,20
"IZI Dream",11,"FR",46,32.6,0.73,1688,-162,483,11.5,15.9,4.2,7.7,41.3,34.8,2.2,43.9,0.65,32.6,1.07,-0.6,-1400,0.67,46.5,31.3,1815,3.2,1.24,1.25,12
"J Team",11,"PCS",62,51.6,1.17,1834,119,435,14.5,12.4,6.5,5,46.8,67.7,2.29,55.9,1.15,57.3,0.87,0.7,1142,0.6,48.2,32.9,2042,3.2,1.24,1.55,25
"JD Gaming",11,"CN",83,56.6,1.03,1837,37,436,14.6,14.2,5.9,5.5,51.8,41,2.35,51.7,0.54,52.3,0.78,-0.1,718,0.63,48.1,33.7,2078,3.4,1.19,1.61,5
"K1CK",11,"PL",70,54.3,1.06,1780,52,533,14,13.2,6.7,5.2,58.6,62.9,2.59,53.5,1.29,67.9,1.03,0.4,614,0.74,56.6,31.4,2048,3.5,1.26,1.35,26
"KaBuM! Academy",11,"BR",36,38.9,0.97,1726,-37,537,13.2,13.6,5.5,6.9,52.8,33.3,2.28,47.7,0.97,48.6,1,-0.2,46,0.5,38.6,31.5,1878,3.4,1.58,1.42,2
"KaBuM! e-Sports",11,"BR",40,42.5,0.87,1725,-71,503,13,14.9,5.4,7,37.5,45,2.35,48.9,0.88,43.8,0.9,0,-309,0.65,45.4,31.4,1917,3.4,1.48,1.54,2
"Kaos Latin Gamers",11,"LAT",28,17.9,0.56,1650,-252,601,11.1,19.9,3.9,8.8,32.1,21.4,2.25,45.5,0.64,32.1,1.14,-0.5,-1492,0.46,29.2,30.8,2001,3.4,1.41,1.36,20
"Karma Clan Esports",11,"PT",53,34,0.69,1692,-147,505,13.5,19.6,4.9,7.2,35.8,39.6,1.89,37.5,0.92,50,0.77,-0.4,-1187,0.51,34.7,29.8,1917,3,1.05,1.27,27
"Karmine Corp",11,"FR",88,72.7,1.45,1887,207,423,17.8,12.2,7.4,4.3,58,64.8,2.59,60.5,1.1,57.4,1.05,0.4,1230,0.89,71.6,32.1,2212,3.1,1.19,1.47,12
"Komil & Friends",11,"PL",29,24.1,0.63,1604,-266,450,10.5,16.6,3.7,7.6,34.5,27.6,2.03,41.2,0.66,32.8,0.86,-0.7,-2866,0.59,39.7,28.9,1600,3,1.13,1.1,26
"KOVA Esports",11,"EUW",28,25,0.71,1647,-244,494,12.9,18,3.1,8.6,46.4,17.9,1.79,34.7,0.57,28.6,0.68,-0.9,-1808,0.43,24.7,30.4,1889,3.2,1.31,1.27,11
"KRC Genk Esports",11,"BE",29,44.8,0.88,1706,-97,441,14.3,16.3,4.6,6.6,41.4,48.3,2.31,50.7,0.86,43.1,0.93,-0.3,-1122,0.48,39.7,29.6,1857,2.7,1.16,1.15,1
"KT Challengers",11,"KR",48,47.9,1.09,1745,-13,626,13.3,12.2,6,6.1,62.5,60.4,2.65,55.8,0.96,50,0.92,0.2,14,0.79,51.4,32.1,1786,3.6,1.73,1.76,17
"KT Rolster",11,"KR",98,43.9,0.95,1758,-55,559,11.7,12.3,5.1,6.3,49,38.8,1.94,41,0.87,44.4,0.68,-0.4,-343,0.63,42,34,1799,3.8,1.56,1.75,17
"KV Mechelen Esports",11,"BE",45,73.3,1.32,1835,136,471,17.7,13.4,7.1,4.5,60,55.6,2.98,62.5,1.2,64.4,1.2,0.2,774,0.67,57.5,30.9,2048,2.9,1.07,1.26,1
"LDLC OL",11,"FR",40,40,0.85,1749,-63,588,13.1,15.3,5.7,6.8,45,47.5,2.15,42.4,0.53,27.5,0.78,-0.3,-258,0.65,37.1,32.4,2082,3.2,1.1,1.3,12
"Legacy Esports",11,"OCE",35,31.4,0.75,1697,-179,428,13.9,18.5,4.6,7.2,57.1,42.9,2.03,44.2,0.8,40,0.8,-0.2,-1079,0.51,34.3,29.8,1962,3,1.08,1.2,24
"Legend Esport Gaming",11,"CN",4,0,0.32,1571,-404,509,7.5,23.5,2,9.3,0,50,1.25,22.9,0.5,25,0.75,-0.3,-2170,0,0,31,1835,3,1.22,1.2,5
"LGD Gaming",11,"CN",77,36.4,0.8,1729,-132,422,12,14.9,4.7,6.8,36.4,33.8,1.92,41.5,0.39,39.7,0.73,-0.4,-1997,0.47,38,32.2,1871,3.1,1.23,1.56,5
"Liiv SANDBOX",11,"KR",101,44.6,0.85,1764,-51,546,11.2,13.2,5.7,6.3,42.6,55.4,2.29,50.4,1.1,58.4,0.82,0,-88,0.58,43,33.7,1793,3.7,1.59,1.86,17
"Liyab Esports",11,"PCS",40,17.5,0.61,1627,-306,301,10.6,17.5,2.8,8.3,45,30,1.55,35.2,0.78,40,0.68,-1.3,-2642,0.28,24.5,30.1,1686,2.9,1.22,1.2,25
"LNG Esports",11,"CN",124,53.2,1.13,1795,29,462,13.1,11.6,5.8,5.7,50,46,2.05,48.1,0.31,40.6,0.68,0,-29,0.57,47.6,33.3,1871,3.4,1.19,1.5,5
